AuthorsW,V2.5 + ServicePack 1,R2.5.1.8,V2.5.1.0,
CFC,V9.0 + SP3 + Upd3,09.00.03.03_01.12.00.03,K9.0.3.3,
S7 Distributed Safety Programming,V5.4 + SP5,K5.4.5.0_3.5.0.2,K5.4.5.0,
SIMATIC WinCC flexible Runtime,2008 SP5,V1.5.0.0_1.11.0.6,V1.5.0.0,
Automation License Manager,V6.0 + SP9 + Upd2,06.00.09.02_01.01.00.02,K6.0.9.2,
S7-PLCSIM  ,V5.4 + SP8,V05.04.08.01_01.24.00.01,K5.4.8.1,
SIMATIC ProSave,V17.0,V17.00.00.00_43.02.00.01,V17.00.00.00,
SIMATIC ProTool/Pro CS,V6.0 + ServicePack 3,V6.0,V6.0.3.0,
SIMATIC ProTool/Pro RT,V6.0 + ServicePack 3,V6.0,V6.0.3.0,
SIMATIC S7-Block Privacy Professional 2017 SR1,V1.0 + SP4,K1.0.4.0_9.1.0.1,K1.0.4.0,
S7 F ConfigurationPack,V5.5 + SP13,K5.5.13.0_7.1.0.1,K5.5.13.0,
SIMATIC S7-GRAPH Professional 2017 SR1,V5.6,V5.6.0.0_8.1.0.1,V5.6.0.0,
SIMATIC S7-SCL Professional 2017 SR1,V5.6 + HF1,K5.6.0.1_2.1.0.1,K5.6.0.1,
STARTER,V5.4.0.1,V05.04.00.01_05.40.29.05,V5.4.0.1,
STEP 7 Professional 2017 SR1,V5.6 + SP1,K5.6.1.0_9.1.0.2,K5.6.1.0,
SIMATIC S7-Web2PLC Professional 2017 SR1,V1.0 + SP3,K1.0.3.0_8.1.0.1,K1.0.3.0,
SIMATIC WinCC flexible,2008 SP5,V01.05.00.00_01.13.00.03,V1.5.0.0,
SIMATIC WinCC flexible,2008 SP5,V01.05.00.00_01.13.00.03,V1.5.0.0,
